MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,Modelname
19,6,250,88,3302,15.5,71,USA,ford torino 500
18,6,232,100,3288,15.5,71,USA,amc matador
14,8,350,165,4209,12,71,USA,chevrolet impala
14,8,400,175,4464,11.5,71,USA,pontiac catali brougham
14,8,351,153,4154,13.5,71,USA,ford galaxie 500
14,8,318,150,4096,13,71,USA,plymouth fury iii
12,8,383,180,4955,11.5,71,USA,dodge moco (sw)
13,8,400,170,4746,12,71,USA,ford country squire (sw)
13,8,400,175,5140,12,71,USA,pontiac safari (sw)
18,6,258,110,2962,13.5,71,USA,amc hornet sportabout (sw)
22,4,140,72,2408,19,71,USA,chevrolet vega (sw)
19,6,250,100,3282,15,71,USA,pontiac firebird
18,6,250,88,3139,14.5,71,USA,ford mustang
23,4,122,86,2220,14,71,USA,mercury capri 2000
28,4,116,90,2123,14,71,Europe,opel 1900
30,4,79,70,2074,19.5,71,Europe,peugeot 304
30,4,88,76,2065,14.5,71,Europe,fiat 124b
31,4,71,65,1773,19,71,Japan,toyota corolla 1200
35,4,72,69,1613,18,71,Japan,datsun 1200
27,4,97,60,1834,19,71,Europe,volkswagen model 111
26,4,91,70,1955,20.5,71,USA,plymouth cricket
24,4,113,95,2278,15.5,72,Japan,toyota coro hardtop
25,4,97.5,80,2126,17,72,USA,dodge colt hardtop
23,4,97,54,2254,23.5,72,Europe,volkswagen type 3
20,4,140,90,2408,19.5,72,USA,chevrolet vega
21,4,122,86,2226,16.5,72,USA,ford pinto rubout
13,8,350,165,4274,12,72,USA,chevrolet impala
14,8,400,175,4385,12,72,USA,pontiac catali
15,8,318,150,4135,13.5,72,USA,plymouth fury iii
14,8,351,153,4129,13,72,USA,ford galaxie 500
17,8,304,150,3672,11.5,72,USA,amc ambassador sst
11,8,429,208,4633,11,72,USA,mercury marquis
13,8,350,155,4502,13.5,72,USA,buick lesabre custom
12,8,350,160,4456,13.5,72,USA,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,72,USA,chrysler newport royal
19,3,70,97,2330,13.5,72,Japan,mazda rx2 coupe
15,8,304,150,3892,12.5,72,USA,amc matador (sw)
13,8,307,130,4098,14,72,USA,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,72,USA,ford gran torino (sw)
14,8,318,150,4077,14,72,USA,plymouth satellite custom (sw)
18,4,121,112,2933,14.5,72,Europe,volvo 145e (sw)
22,4,121,76,2511,18,72,Europe,volkswagen 411 (sw)
21,4,120,87,2979,19.5,72,Europe,peugeot 504 (sw)
26,4,96,69,2189,18,72,Europe,reult 12 (sw)
22,4,122,86,2395,16,72,USA,ford pinto (sw)
28,4,97,92,2288,17,72,Japan,datsun 510 (sw)
23,4,120,97,2506,14.5,72,Japan,toyouta coro mark ii (sw)
28,4,98,80,2164,15,72,USA,dodge colt (sw)
27,4,97,88,2100,16.5,72,Japan,toyota corolla 1600 (sw)
13,8,350,175,4100,13,73,USA,buick century 350
14,8,304,150,3672,11.5,73,USA,amc matador
13,8,350,145,3988,13,73,USA,chevrolet malibu
14,8,302,137,4042,14.5,73,USA,ford gran torino
15,8,318,150,3777,12.5,73,USA,dodge coronet custom
12,8,429,198,4952,11.5,73,USA,mercury marquis brougham
13,8,400,150,4464,12,73,USA,chevrolet caprice classic
13,8,351,158,4363,13,73,USA,ford ltd
14,8,318,150,4237,14.5,73,USA,plymouth fury gran sedan
13,8,440,215,4735,11,73,USA,chrysler new yorker brougham
12,8,455,225,4951,11,73,USA,buick electra 225 custom
13,8,360,175,3821,11,73,USA,amc ambassador brougham
18,6,225,105,3121,16.5,73,USA,plymouth valiant
16,6,250,100,3278,18,73,USA,chevrolet nova custom
18,6,232,100,2945,16,73,USA,amc hornet
18,6,250,88,3021,16.5,73,USA,ford maverick
23,6,198,95,2904,16,73,USA,plymouth duster
26,4,97,46,1950,21,73,Europe,volkswagen super beetle
11,8,400,150,4997,14,73,USA,chevrolet impala
12,8,400,167,4906,12.5,73,USA,ford country
13,8,360,170,4654,13,73,USA,plymouth custom suburb
12,8,350,180,4499,12.5,73,USA,oldsmobile vista cruiser
18,6,232,100,2789,15,73,USA,amc gremlin
20,4,97,88,2279,19,73,Japan,toyota cari
21,4,140,72,2401,19.5,73,USA,chevrolet vega
22,4,108,94,2379,16.5,73,Japan,datsun 610
18,3,70,90,2124,13.5,73,Japan,maxda rx3
19,4,122,85,2310,18.5,73,USA,ford pinto
21,6,155,107,2472,14,73,USA,mercury capri v6
26,4,98,90,2265,15.5,73,Europe,fiat 124 sport coupe
15,8,350,145,4082,13,73,USA,chevrolet monte carlo s
16,8,400,230,4278,9.5,73,USA,pontiac grand prix
29,4,68,49,1867,19.5,73,Europe,fiat 128
24,4,116,75,2158,15.5,73,Europe,opel manta
20,4,114,91,2582,14,73,Europe,audi 100ls
19,4,121,112,2868,15.5,73,Europe,volvo 144ea
15,8,318,150,3399,11,73,USA,dodge dart custom
24,4,121,110,2660,14,73,Europe,saab 99le
20,6,156,122,2807,13.5,73,Japan,toyota mark ii
11,8,350,180,3664,11,73,USA,oldsmobile omega
20,6,198,95,3102,16.5,74,USA,plymouth duster
21,6,200,,2875,17,74,USA,ford maverick
19,6,232,100,2901,16,74,USA,amc hornet
15,6,250,100,3336,17,74,USA,chevrolet nova
31,4,79,67,1950,19,74,Japan,datsun b210
26,4,122,80,2451,16.5,74,USA,ford pinto
32,4,71,65,1836,21,74,Japan,toyota corolla 1200
25,4,140,75,2542,17,74,USA,chevrolet vega
16,6,250,100,3781,17,74,USA,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,USA,amc matador
18,6,225,105,3613,16.5,74,USA,plymouth satellite sebring
16,8,302,140,4141,14,74,USA,ford gran torino
13,8,350,150,4699,14.5,74,USA,buick century luxus (sw)
14,8,318,150,4457,13.5,74,USA,dodge coronet custom (sw)
14,8,302,140,4638,16,74,USA,ford gran torino (sw)
14,8,304,150,4257,15.5,74,USA,amc matador (sw)
29,4,98,83,2219,16.5,74,Europe,audi fox
26,4,79,67,1963,15.5,74,Europe,volkswagen dasher
26,4,97,78,2300,14.5,74,Europe,opel manta
31,4,76,52,1649,16.5,74,Japan,toyota coro
32,4,83,61,2003,19,74,Japan,datsun 710
28,4,90,75,2125,14.5,74,USA,dodge colt
24,4,90,75,2108,15.5,74,Europe,fiat 128
26,4,116,75,2246,14,74,Europe,fiat 124 tc
24,4,120,97,2489,15,74,Japan,honda civic
26,4,108,93,2391,15.5,74,Japan,subaru
31,4,79,67,2000,16,74,Europe,fiat x1.9
19,6,225,95,3264,16,75,USA,plymouth valiant custom
18,6,250,105,3459,16,75,USA,chevrolet nova
15,6,250,72,3432,21,75,USA,mercury morch
15,6,250,72,3158,19.5,75,USA,ford maverick
16,8,400,170,4668,11.5,75,USA,pontiac catali
15,8,350,145,4440,14,75,USA,chevrolet bel air
16,8,318,150,4498,14.5,75,USA,plymouth grand fury
14,8,351,148,4657,13.5,75,USA,ford ltd
17,6,231,110,3907,21,75,USA,buick century
16,6,250,105,3897,18.5,75,USA,chevroelt chevelle malibu
15,6,258,110,3730,19,75,USA,amc matador
18,6,225,95,3785,19,75,USA,plymouth fury
21,6,231,110,3039,15,75,USA,buick skyhawk
20,8,262,110,3221,13.5,75,USA,chevrolet monza 2+2
13,8,302,129,3169,12,75,USA,ford mustang ii
29,4,97,75,2171,16,75,Japan,toyota corolla
23,4,140,83,2639,17,75,USA,ford pinto
20,6,232,100,2914,16,75,USA,amc gremlin
23,4,140,78,2592,18.5,75,USA,pontiac astro
24,4,134,96,2702,13.5,75,Japan,toyota coro
25,4,90,71,2223,16.5,75,Europe,volkswagen dasher
24,4,119,97,2545,17,75,Japan,datsun 710
18,6,171,97,2984,14.5,75,USA,ford pinto
29,4,90,70,1937,14,75,Europe,volkswagen rabbit
19,6,232,90,3211,17,75,USA,amc pacer
23,4,115,95,2694,15,75,Europe,audi 100ls
23,4,120,88,2957,17,75,Europe,peugeot 504
22,4,121,98,2945,14.5,75,Europe,volvo 244dl
25,4,121,115,2671,13.5,75,Europe,saab 99le
33,4,91,53,1795,17.5,75,Japan,honda civic cvcc
28,4,107,86,2464,15.5,76,Europe,fiat 131
25,4,116,81,2220,16.9,76,Europe,opel 1900
25,4,140,92,2572,14.9,76,USA,capri ii
26,4,98,79,2255,17.7,76,USA,dodge colt
27,4,101,83,2202,15.3,76,Europe,reult 12tl
17.5,8,305,140,4215,13,76,USA,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,USA,dodge coronet brougham
15.5,8,304,120,3962,13.9,76,USA,amc matador
14.5,8,351,152,4215,12.8,76,USA,ford gran torino
22,6,225,100,3233,15.4,76,USA,plymouth valiant
22,6,250,105,3353,14.5,76,USA,chevrolet nova
24,6,200,81,3012,17.6,76,USA,ford maverick
22.5,6,232,90,3085,17.6,76,USA,amc hornet
29,4,85,52,2035,22.2,76,USA,chevrolet chevette
24.5,4,98,60,2164,22.1,76,USA,chevrolet woody
29,4,90,70,1937,14.2,76,Europe,vw rabbit
33,4,91,53,1795,17.4,76,Japan,honda civic
20,6,225,100,3651,17.7,76,USA,dodge aspen se
18,6,250,78,3574,21,76,USA,ford grada ghia
18.5,6,250,110,3645,16.2,76,USA,pontiac ventura sj
17.5,6,258,95,3193,17.8,76,USA,amc pacer d/l
29.5,4,97,71,1825,12.2,76,Europe,volkswagen rabbit
32,4,85,70,1990,17,76,Japan,datsun b-210
28,4,97,75,2155,16.4,76,Japan,toyota corolla
26.5,4,140,72,2565,13.6,76,USA,ford pinto
20,4,130,102,3150,15.7,76,Europe,volvo 245
13,8,318,150,3940,13.2,76,USA,plymouth volare premier v8
19,4,120,88,3270,21.9,76,Europe,peugeot 504
19,6,156,108,2930,15.5,76,Japan,toyota mark ii
16.5,6,168,120,3820,16.7,76,Europe,mercedes-benz 280s
16.5,8,350,180,4380,12.1,76,USA,cadillac seville
13,8,350,145,4055,12,76,USA,chevy c10
13,8,302,130,3870,15,76,USA,ford f108
13,8,318,150,3755,14,76,USA,dodge d100
31.5,4,98,68,2045,18.5,77,Japan,honda accord cvcc
30,4,111,80,2155,14.8,77,USA,buick opel isuzu deluxe
36,4,79,58,1825,18.6,77,Europe,reult 5 gtl
25.5,4,122,96,2300,15.5,77,USA,plymouth arrow gs
33.5,4,85,70,1945,16.8,77,Japan,datsun f-10 hatchback
17.5,8,305,145,3880,12.5,77,USA,chevrolet caprice classic
17,8,260,110,4060,19,77,USA,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.7,77,USA,dodge moco brougham
15,8,302,130,4295,14.9,77,USA,mercury cougar brougham
17.5,6,250,110,3520,16.4,77,USA,chevrolet concours
20.5,6,231,105,3425,16.9,77,USA,buick skylark
19,6,225,100,3630,17.7,77,USA,plymouth volare custom
18.5,6,250,98,3525,19,77,USA,ford grada
16,8,400,180,4220,11.1,77,USA,pontiac grand prix lj
15.5,8,350,170,4165,11.4,77,USA,chevrolet monte carlo landau
15.5,8,400,190,4325,12.2,77,USA,chrysler cordoba
16,8,351,149,4335,14.5,77,USA,ford thunderbird
29,4,97,78,1940,14.5,77,Europe,volkswagen rabbit custom
24.5,4,151,88,2740,16,77,USA,pontiac sunbird coupe
26,4,97,75,2265,18.2,77,Japan,toyota corolla liftback
25.5,4,140,89,2755,15.8,77,USA,ford mustang ii 2+2
30.5,4,98,63,2051,17,77,USA,chevrolet chevette
33.5,4,98,83,2075,15.9,77,USA,dodge colt m/m
30,4,97,67,1985,16.4,77,Japan,subaru dl
30.5,4,97,78,2190,14.1,77,Europe,volkswagen dasher
22,6,146,97,2815,14.5,77,Japan,datsun 810
21.5,4,121,110,2600,12.8,77,Europe,bmw 320i
21.5,3,80,110,2720,13.5,77,Japan,mazda rx-4
43.1,4,90,48,1985,21.5,78,Europe,volkswagen rabbit custom diesel
36.1,4,98,66,1800,14.4,78,USA,ford fiesta
32.8,4,78,52,1985,19.4,78,Japan,mazda glc deluxe
39.4,4,85,70,2070,18.6,78,Japan,datsun b210 gx
36.1,4,91,60,1800,16.4,78,Japan,honda civic cvcc
19.9,8,260,110,3365,15.5,78,USA,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.2,78,USA,dodge diplomat
20.2,8,302,139,3570,12.8,78,USA,mercury morch ghia
19.2,6,231,105,3535,19.2,78,USA,pontiac phoenix lj
33.8,4,97,67,2145,18,80,Japan,subaru dl
29.8,4,89,62,1845,15.3,80,Europe,vokswagen rabbit
32.7,6,168,132,2910,11.4,80,Japan,datsun 280-zx
23.7,3,70,100,2420,12.5,80,Japan,mazda rx-7 gs
35,4,122,88,2500,15.1,80,Europe,triumph tr7 coupe
23.6,4,140,,2905,14.3,80,USA,ford mustang cobra
32.4,4,107,72,2290,17,80,Japan,honda accord
27.2,4,135,84,2490,15.7,81,USA,plymouth reliant
26.6,4,151,84,2635,16.4,81,USA,buick skylark
25.8,4,156,92,2620,14.4,81,USA,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,81,USA,chevrolet citation
30,4,135,84,2385,12.9,81,USA,plymouth reliant
39.1,4,79,58,1755,16.9,81,Japan,toyota starlet
39,4,86,64,1875,16.4,81,USA,plymouth champ
35.1,4,81,60,1760,16.1,81,Japan,honda civic 1300
32.3,4,97,67,2065,17.8,81,Japan,subaru
37,4,85,65,1975,19.4,81,Japan,datsun 210 mpg
37.7,4,89,62,2050,17.3,81,Japan,toyota tercel
34.1,4,91,68,1985,16,81,Japan,mazda glc 4
34.7,4,105,63,2215,14.9,81,USA,plymouth horizon 4
34.4,4,98,65,2045,16.2,81,USA,ford escort 4w
29.9,4,98,65,2380,20.7,81,USA,ford escort 2h
33,4,105,74,2190,14.2,81,Europe,volkswagen jetta
34.5,4,100,,2320,15.8,81,Europe,reult 18i
33.7,4,107,75,2210,14.4,81,Japan,honda prelude
32.4,4,108,75,2350,16.8,81,Japan,toyota corolla
32.9,4,119,100,2615,14.8,81,Japan,datsun 200sx
31.6,4,120,74,2635,18.3,81,Japan,mazda 626
28.1,4,141,80,3230,20.4,81,Europe,peugeot 505s turbo diesel
,4,121,110,2800,15.4,81,Europe,saab 900s
30.7,6,145,76,3160,19.6,81,Europe,volvo diesel
25.4,6,168,116,2900,12.6,81,Japan,toyota cressida
24.2,6,146,120,2930,13.8,81,Japan,datsun 810 maxima
22.4,6,231,110,3415,15.8,81,USA,buick century
26.6,8,350,105,3725,19,81,USA,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,81,USA,ford grada gl
17.6,6,225,85,3465,16.6,81,USA,chrysler lebaron salon
28,4,112,88,2605,19.6,82,USA,chevrolet cavalier
27,4,112,88,2640,18.6,82,USA,chevrolet cavalier wagon
34,4,112,88,2395,18,82,USA,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,82,USA,pontiac j2000 se hatchback
29,4,135,84,2525,16,82,USA,dodge aries se
27,4,151,90,2735,18,82,USA,pontiac phoenix
24,4,140,92,2865,16.4,82,USA,ford fairmont futura
23,4,151,,3035,20.5,82,USA,amc concord dl
36,4,105,74,1980,15.3,82,Europe,volkswagen rabbit l
37,4,91,68,2025,18.2,82,Japan,mazda glc custom l
31,4,91,68,1970,17.6,82,Japan,mazda glc custom
38,4,105,63,2125,14.7,82,USA,plymouth horizon miser
36,4,98,70,2125,17.3,82,USA,mercury lynx l
36,4,120,88,2160,14.5,82,Japan,nissan stanza xe
36,4,107,75,2205,14.5,82,Japan,honda accord
34,4,108,70,2245,16.9,82,Japan,toyota corolla
38,4,91,67,1965,15,82,Japan,honda civic
32,4,91,67,1965,15.7,82,Japan,honda civic (auto)
38,4,91,67,1995,16.2,82,Japan,datsun 310 gx
25,6,181,110,2945,16.4,82,USA,buick century limited
38,6,262,85,3015,17,82,USA,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,82,USA,chrysler lebaron medallion
22,6,232,112,2835,14.7,82,USA,ford grada l
32,4,144,96,2665,13.9,82,Japan,toyota celica gt
36,4,135,84,2370,13,82,USA,dodge charger 2.2
27,4,151,90,2950,17.3,82,USA,chevrolet camaro
27,4,140,86,2790,15.6,82,USA,ford mustang gl
44,4,97,52,2130,24.6,82,Europe,vw pickup
32,4,135,84,2295,11.6,82,USA,dodge rampage
28,4,120,79,2625,18.6,82,USA,ford ranger
31,4,119,82,2720,19.4,82,USA,chevy s-10
